Subnational,1000 Genomes Project,,International HapMap Project,,The Korean Personal Genomes Project,The Korean Personal Genomes Project,The Personal Genome Project: United Kingdom,The Harvard Personal Genome Project,The Personal Genome Project: Austria,The Personal Genome Project Canada,Chinese Millionome Database,WGS of 175 Mongolians,Complete Genomics (69 Genomes Data),CEPH Families Reference Panel,Vietnamese Genetic Variation Database,The Danish Reference Genome Project,A high-quality Neandertal genome sequence,Human Genome Diversity Project (HGDP),,Simons Genome Diversity Project,Aboriginal Australia,HUGO Pan-Asian SNP Consortium,Singapore Sequencing Malay Project (SSMP),Singapore Sequencing Indian Project (SSIP),Genome of the Netherlands (GoNL),Turkish genomes,South Asian Genomes,South Asian Genomes,African Genome Variation Project (AGVP),African Genome Variation Project (AGVP),Japanese reference panel project (1KJPN),Iceland,UK10K,UK10K,Italy-Sardinians,Estonian BioBank,Estonian BioBank,Qatar,Qatar,Qatar,Greater Middle East,Canada (Quebec),10 000 genomes,Tibet,China (CONVERGE),Sweden (SweGen),Sequencing Initiative Suomi (SISu) Project,The Southern African Human Genome Programme,2KJPN,East Asia,"Genomics England 100,000 Genomes Project",GenomeAsia 100K,US Precision Medicine Initiative,China Precision Medicine Initiative,The Iranian Genome Project,Saudi Human Genome Project,Genome Russia Project,National Arab Genome project,The Medical Genome Reference Bank,Singapore Genome Variation Project,Reich lab,,Siberian genetic diversity reveals complex origins of the Samoyedic‐speaking populations,,The genetic history of admixture across inner Eurasia,,The Ukrainian DNA project,Estonian Biocenter Genotype(EBG) afghan,,EBG palaeo-eskimo,,EBG caucasus,,EBG munda,,EBG sakha,,EBG india,,EBG jewish,EBG malta (siberian),,EBG Ashkenazi Levites,,EBG Khazar,,EBG Balkan,,EBG Arctic,,EBG Turkic,,EBG chrY,EBG history of Native Americans,,EBG slavic,,EBG oceania,,EBG Eichstaedt_2017,EBG Parsi,,EBG Eichstaedt_2017_2,EBG Indonesia-New Guinea,EBG Pathak,,EBG Tambets2018,,EBG Tatte_2019,,EBG Tamm_2019 Corsica,EBG  Ongaro_2019,,Ethiopian Genetic Diversity,University of Oxford - Italian population,University of Oxford - the Basotho of Lesotho,University of Oxford - Bantu-Speaking,University of Oxford - genetic atlas of human admixture history,Sydney Brenner Institute for Molecular Bioscience - Bantu-speaking South Africans,NIG - Network fot italian genomes,,Biaka sample from HGDP,Complete Khoisan and Bantu genomes from southern Africa (Homo sapiens),Genome sequence of a single male individual from the Yoruba people of Nigeria,"Khoisan, Mbuti Pygmies, Mandenka",African populations,Algerian Human Populations,Hypoxia in Ethiopian Highlanders via Whole Genome Sequencing,Whole genome sequences for five Khoisan individuals and one Bantu speaker.,Genetic Evidence of African Slavery at the Beginning of the Trans-Atlantic Slave Trade,hunter-gatherer group of Madagascar,300 samples from across North Eurasia,Stone-Age Scandinavian Foragers and Farmers,"The Tyrolean Iceman, a 5300-year-old Copper age individual"
Great Britain and Ireland,107,British in England and Scotland,,,,,,,,,,,,,,,,13,Orcadian in Orkney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Scottish | British | Orcadian,19,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,British,,,,,,,,,,,,,,,,,,,,,
Southwest Germanic (French & German),,,,,,,,,23,,,,,,,,,46,Basque in France | French in France,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,Basque | French | Czech | Hungarian | Poles,22,German,,,,,,,,,,,,,,,,,,,,,17,Poles,,,,,13,Germans,,1,French,15,Slovak,,,,,,,,,,6,German | Poles,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Germanic (Scandinavian),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Norwegian | Icelandic,,,,,,,,,,,,,,,,,,,,,,,18,Sweden,,,,,11,Veps,,,,,,,,,,,,,,,1,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnish,105,Finnish in Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,"Finn | Mari (Cheremisa, Cheremis) | Sammi (Sami)",4,Mari,31,Besermyan | Karelian | Veps,,,,,,,,,,,,,,,15,Mari,,,,,,,,,,,,,,,,,,,,,,,,,25,"Finn | Karel | Mari | Sami (Saami) | Vepsa (Veps, Vepsian)",,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,23,Russian in Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Adygei | Bashkir | Belarusian | Chuvash | Mordovian | Russian | Ukranian,6,Mordovian,183,Adygei | Bashkir | Chuvash | Mordovian | Russian | Udmurt | Ukrainian,,,,,,35,Mordovian | Ukrainian,,,,,,,,1,Russian,1,Ukrainian,9,Belarussian | Russian,,,,,74,Bashkir | Chuvash | Russian | Udmurt,,,,12,Belarusian | Russian,,,,,,,,,,2,Russian,,,,3,Ukranian,,,,,,,,,,,,,,,,,,,,,
Balkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Croatia | Albanians,,,9,Gagauz,,,,,,,,,,,,,,,,,,,24,Croat,70,Bosnian | Kosovar | Macedonian | Montenegrin | Serbian,,,12,Gagauz,,,,15,Slovenian,,,,,,,,,,1,Gagauz,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Estonian | Lithuanian,,,,,,,,,,,,,,,,,,,15,Estonian,,,,,,,,,,,,,,12,Estonian | Latvian,,,,,,,,,,37,Estonian | Latvian,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Greek,,,,,,,,,,,,,,,,,,,,,,,20,Greek,,,,,,,,,,16,Greek,,,,,,,,,,,,,,,31,Greek,,,,,,,,,,,,,,,,,,,,,
Mediterranean,274,Iberian populations in Spain | Toscani in Italy,100,Toscani in Italia,,,,,,,,,,,,,,40,"Bergamo Italian in Bergamo, Italy | Sardinian in Italy | Tuscan in Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,Maltese | Sicilian | Tunisian | Bulgarian | Crete | Italian | Romanian | Sardinian | Spaniard,13,Italian,10,Moldavian,,,,,,13,Bulgarian,,,,,,,,,,,,31,Italian | Moldavian,,,,,,,,1,Sardinian,,,,,,,,,,,,,,,,,9,Crete,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Ashkenazi Jew | Ashkenazi Levite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
