,Global populations,Subpopulation,Nation,Location
,Europe,,,
,,Europe East,,
,,,West Russia,
,,,,Moscow
,,Northeast Europe,,
,,,Northeast Europe,
,,,,Warsaw
,,,Baltics,
,,,,Riga
,,,West Balkans,
,,,,Podgorica
,,,East Balkans,
,,,,East Balkans
,,,Pannonia,
,,,,Pannonia
,,,Mordovia,
,,,,Mordovia
,,,Finland,
,,,,Finland
,,Great Britain and Ireland ,,
,,,Wales,
,,,, Wales 
,,,England,
,,,,Aberdeenshire
,,,,Central England
,,,,Cornwall
,,,,Cumbria
,,,,Devon
,,,,East Anglia
,,,,Ireland
,,,,Lincolnshire
,,,,North Wales
,,,,North Yorkshire
,,,,Northern Ireland and Southwest Scotland
,,,,Northumbria
,,,,Northwest England
,,,,Northwest Scotland
,,,,Orkney and the Shetland Islands
,,,,South Central England
,,,,South England
,,,,South Wales
,,,,South Wales Border
,,,,South Yorkshire
,,,,Southeast England
,,,Scotland,
,,,,Scotland 
,,,Ireland,
,,,,Ireland
,,,Orkney Islands,
,,,,Orkney Islands
,,Europe (North and West),,
,,,Southwest Germanic,
,,,,Bern
,,,Northwest Germanic,
,,,,Faroe Islands
,,,East Germanic,
,,,,Kostrzyn
,,,France,
,,,,Paris
,,,Scandinavia,
,,,,Stockholm
,,Europe (South),,
,,,Basque,
,,,,Barcelona
,,,Cyprus,
,,,,Cyprus
,,,East Iberia,
,,,,Andorra
,,,West Iberia,
,,,,Porto
,,,Aegean,
,,,,Aegean
,,,North Italy,
,,,,Como
,,,South Italy,
,,,,Salerno
,,,Sardinia,
,,,,Sardinia
,,,Tuscany,
,,,,Firenze
,Asia Central,,,
,,Asia Central,,
,,,Chuvashia,
,,,,Chuvashia
,,,North Central Asia,
,,,,Nur-Sultan
,,,Northeast Caucasus,
,,,,Adygea
,,,Northwestern Caucasus,
,,,,Kabardino-Balkarian
,Asia South,,,
,,Asia South,,
,,,Balochistan,
,,,,Balochistan
,,,Burusho,
,,,,Hunza
,,,Indian subcontinent,
,,,,Indian subcontinent
,,,Kalash,
,,,,Chitral
,,,Pashtun,
,,,,Kabul
,,,Sindhi,
,,,,Hyderabad
,Asia East ,,,
,,Asia East ,,
,,,North China,
,,,,Peking
,,,Northeast China,
,,,,Harbin
,,,South China,
,,,,Guangzhou
,,,Southwest China,
,,,,Yunnan
,,,Japan,
,,,,Japan
,,,Korea,
,,,,Korea
,,,Mongolia,
,,,,Mongolia
,,,Siberia,
,,,,Novosibirsk
,,Southeast Asia,,
,,,Southeast Asia,
,,,,Taiwan
,Africa,,,
,,North Africa,,
,,,Algeria,
,,,,Algeria
,,,Copt,
,,,,Atbara
,,,Egypt,
,,,,Egypt
,,,Libya,
,,,,Libya
,,,Mozabite,
,,,,Ghardaïa
,,,Northern Morocco,
,,,,Rabat
,,,Southern Morocco,
,,,,Marrakesh
,,,Tunisia,
,,,,Tunisia
,,,Western Sahara,
,,,,Dakhla
,,,Zenata,
,,,,EZ Zenata
,,West African Niger-Congo,,
,,,Ajamat,
,,,,Ajamat
,,,Akan,
,,,,Ghana
,,,Bambara,
,,,,Mali
,,,Benin,
,,,,Benin
,,,Esan,
,,,,Esan
,,,Fula,
,,,,Niamey
,,,Igbo,
,,,,Igbo
,,,Ivory Coast-Ghana,
,,,,Ivory Coast-Ghana
,,,Kassena,
,,,,Kassena
,,,Mandinka,
,,,,Mandinka
,,,Manjak,
,,,,Guinea-Bissau.
,,,Mende,
,,,,Sierra Leone
,,,Mossi,
,,,,Mossi
,,,Serer,
,,,,Senegal
,,,Soninke,
,,,,Soninke
,,,Wolof,
,,,,Gambia
,,,Yòrúba,
,,,,Benin
,,Central-West African Niger-Congo,,
,,,Bamum,
,,,,Douala
,,,Cameroon Bantu,
,,,,Beroua
,,,Semi-Bantu,
,,,,Tibati
,,,Tikar,
,,,,Bankim
,,East African Niger-Congo,,
,,,Achonyi,
,,,,Kenya
,,,Giriama,
,,,,Giriama
,,,Kauma-Kambe,
,,,,Umba
,,,Kenya Bantu,
,,,,Kenya Bantu
,,,Luhya,
,,,,Luhya
,,,Malawi Bantu,
,,,,Malawi
,,,Somali,
,,,,Somali
,,,Wasambaa,
,,,,Kilimanjaro 
,,,Zigula,
,,,,Kibaha
,,East African Nilo-Saharan,,
,,,Anuak-South Sudanese,
