Currently our genetic models are based on 42 ethnic groups around the world:,,,,
MyHeritage’s Founder Populations Project ,,,,
,Global populations,Subpopulation,Nation,Location
,Africa,,,
,,Central African,,
,,,Cameroon,
,,,,Cameroon
,,Ethiopian Jewish,,
,,,Ethiopian Jewish,
,,,,Ethiopia
,,Kenyan,,
,,,Kenyan,
,,,,Kenya
,,Maasai,,
,,,Maasai,
,,,,Maasai
,,Nigerian,,
,,,Nigerian,
,,,,Nigeria
,,North African,,
,,,North African,
,,,,Algeria
,,Sephardic Jewish North African,,
,,,Sephardic Jewish North African,
,,,,Morocco
,,Sierra Leonean,,
,,,Sierra Leonean,
,,,,Sierra Leone
,,Somali,,
,,,Somali,
,,,,Somali
,,West African,,
,,,West African,
,,,,Ivory Coast-Ghana
,America,,,
,,Central American,,
,,,Central American,
,,,,Mexico
,,Indigenous Amazonian,,
,,,Indigenous Amazonian,
,,,,Brasilia
,,Native American,,
,,,Native American,
,,,,Peru
,Asia,,,
,,,,
,,Central Asia,,
,,,Central Asia,
,,,,Almaty
,,Chinese and Vietnamese,,
,,,Chinese and Vietnamese,
,,,,Vietnam
,,Eskimo/Inuit,,
,,,Eskimo/Inuit,
,,,,Alaska
,,"Filipino, Indonesian, and Malaysian",,
,,,"Filipino, Indonesian, and Malaysian",
,,,,Indonesia
,,Japanese,,
,,,Japanese,
,,,,Japan
,,Mizrahi Jewish - Iranian/Iraqi,,
,,,Mizrahi Jewish - Iranian/Iraqi,
,,,,Iran
,,Mongolian,,
,,,Mongolian,
,,,,Mongolia
,,Nepali,,
,,,Nepali,
,,,,Nepal
,,South Asian,,
,,,South Asian,
,,,,South Asian
,,Thai and Cambodian,,
,,,Thai and Cambodian,
,,,,Cambodia
,,West Asian,,
,,,West Asian,
,,,,Saudi Arabia
,,,,
,Europe,,,
,,East European,,
,,,East European,
,,,,Moscow
,,Ashkenazi Jewish,,
,,,Ashkenazi Jewish,
,,,,Ashkenazi Jewish
,,Balkan,,
,,,Balkan,
,,,,Serbia
,,Baltic,,
,,,Baltic,
,,,,Riga
,,North and West European,,
,,,North and West European,
,,,,Frankfurt
,,English,,
,,,English,
,,,,London
,,Finnish,,
,,,Finnish,
,,,,Finnland
,,Greek and South Italian,,
,,,Greek and South Italian,
,,,,Greece
,,Iberian,,
,,,Iberian,
,,,,Madrid
,,"Irish, Scottish, and Welsh",,
,,,"Irish, Scottish, and Welsh",
,,,,Ireland
,,Italian,,
,,,Italian,
,,,,Pisa
,,Sardinian,,
,,,Sardinian,
,,,,Sardinian
,,Scandinavian,,
,,,Scandinavian,
,,,,Scandinavian
,Middle East,,,
,,,,
,,Middle Eastern,,
,,,Middle Eastern,
,,,,Egypt
,,Yemenite Jewish,,
,,,Yemenite Jewish,
,,,,Yemen
,Oceania,,,
,,Melanesian,,
,,,Melanesian,
,,,,Maluku Islands
,,Papuan,,
,,,Papuan,
,,,,New Guinea
,,Polynesian,,
,,,Polynesian,
,,,,Papeete
